epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,11415.6,0.90877,0.36818,0.90197,0.99466,0.99215,0.99475,0.78479,0.9341,0.3235,0.89184,0.0024265,0.0024265,0.0024265
155,11489.1,0.90712,0.36876,0.90225,0.9951,0.99185,0.99475,0.785,0.93428,0.32326,0.89184,0.002377,0.002377,0.002377
156,11560.4,0.90469,0.36615,0.901,0.99528,0.99187,0.99475,0.78522,0.93399,0.32337,0.8918,0.0023275,0.0023275,0.0023275
157,11633.9,0.90545,0.36669,0.89913,0.99549,0.9918,0.99475,0.7854,0.93395,0.32319,0.89181,0.002278,0.002278,0.002278
158,11706.5,0.89798,0.36364,0.89878,0.99564,0.99146,0.99474,0.78551,0.93377,0.32311,0.89173,0.0022285,0.0022285,0.0022285
159,11778.5,0.90366,0.36557,0.9022,0.99566,0.99146,0.99474,0.78535,0.93369,0.32311,0.8917,0.002179,0.002179,0.002179
160,11850.6,0.90498,0.36476,0.90312,0.9958,0.9916,0.99475,0.78534,0.93358,0.32309,0.89169,0.0021295,0.0021295,0.0021295
161,11923.6,0.90606,0.3631,0.89896,0.9958,0.99146,0.99475,0.78552,0.9335,0.32306,0.89163,0.00208,0.00208,0.00208
162,11995.3,0.90277,0.36452,0.9005,0.99597,0.9916,0.99475,0.78572,0.93343,0.32288,0.89165,0.0020305,0.0020305,0.0020305
163,12067.5,0.89952,0.36195,0.89804,0.99597,0.99166,0.99475,0.78566,0.93335,0.32264,0.89159,0.001981,0.001981,0.001981
164,12139.9,0.89964,0.36024,0.89974,0.99597,0.99168,0.99475,0.78614,0.9334,0.32266,0.89158,0.0019315,0.0019315,0.0019315
165,12211,0.89559,0.35919,0.89958,0.99597,0.99168,0.99475,0.78599,0.93316,0.32247,0.89154,0.001882,0.001882,0.001882
166,12284,0.89622,0.3589,0.90254,0.99601,0.99146,0.99475,0.78595,0.93324,0.32238,0.89159,0.0018325,0.0018325,0.0018325
167,12357.3,0.89563,0.35848,0.90009,0.99615,0.9916,0.99475,0.78587,0.93315,0.32231,0.89158,0.001783,0.001783,0.001783
168,12429.6,0.89587,0.35776,0.90108,0.99615,0.99159,0.99475,0.78622,0.933,0.32215,0.89156,0.0017335,0.0017335,0.0017335
169,12504.8,0.8888,0.35473,0.89806,0.99615,0.9916,0.99475,0.78602,0.93308,0.32209,0.89158,0.001684,0.001684,0.001684
170,12578.3,0.88495,0.35405,0.89539,0.99615,0.99158,0.99475,0.78633,0.93313,0.32206,0.89158,0.0016345,0.0016345,0.0016345
171,12649.7,0.89323,0.35705,0.89907,0.99615,0.99159,0.99475,0.78626,0.93319,0.32178,0.89159,0.001585,0.001585,0.001585
172,12722.3,0.88986,0.35487,0.89889,0.99597,0.99141,0.99475,0.7863,0.93284,0.32149,0.89154,0.0015355,0.0015355,0.0015355
173,12794.7,0.88851,0.35406,0.89831,0.99597,0.99142,0.99475,0.7861,0.93306,0.32171,0.89155,0.001486,0.001486,0.001486
174,12866.4,0.88618,0.3519,0.89642,0.99597,0.99138,0.99475,0.78593,0.93313,0.32168,0.89156,0.0014365,0.0014365,0.0014365
175,12940.8,0.88233,0.35025,0.89627,0.99597,0.99127,0.99475,0.78608,0.93303,0.32159,0.8915,0.001387,0.001387,0.001387
176,13014.5,0.88219,0.35015,0.89703,0.99597,0.99125,0.99475,0.7861,0.93326,0.32144,0.89152,0.0013375,0.0013375,0.0013375
177,13086.1,0.88348,0.35141,0.89378,0.99597,0.99126,0.99474,0.78591,0.93328,0.32143,0.89151,0.001288,0.001288,0.001288
178,13158.9,0.88288,0.35022,0.89096,0.99615,0.99172,0.99475,0.78613,0.93328,0.32146,0.89148,0.0012385,0.0012385,0.0012385
179,13231.8,0.88017,0.35012,0.89319,0.99615,0.99145,0.99475,0.78608,0.93302,0.32144,0.8914,0.001189,0.001189,0.001189
180,13304,0.87984,0.34853,0.89287,0.99615,0.99137,0.99474,0.78597,0.93317,0.32151,0.89138,0.0011395,0.0011395,0.0011395
181,13377.4,0.87616,0.34464,0.8929,0.99615,0.99132,0.99475,0.78613,0.93295,0.32144,0.89136,0.00109,0.00109,0.00109
182,13451.7,0.87335,0.34382,0.89409,0.99615,0.99129,0.99475,0.78629,0.93292,0.32149,0.89131,0.0010405,0.0010405,0.0010405
